,State_Code,State_Name,Region_Code,Region_Name,City_Code,City_Name
0,S1,Kentucky,3,South,C1,Henderson
1,S1,Kentucky,3,South,C103,Richmond
2,S1,Kentucky,3,South,C160,Florence
3,S1,Kentucky,3,South,C209,Murray
4,S1,Kentucky,3,South,C257,Bowling Green
5,S1,Kentucky,3,South,C431,Georgetown
6,S1,Kentucky,3,South,C460,Owensboro
7,S2,California,4,West,C2,Los Angeles
8,S2,California,4,West,C9,San Francisco
9,S2,California,4,West,C44,Roseville
10,S2,California,4,West,C46,Pasadena
11,S2,California,4,West,C50,San Jose
12,S2,California,4,West,C57,Redlands
13,S2,California,4,West,C63,Whittier
14,S2,California,4,West,C69,Santa Clara
15,S2,California,4,West,C71,San Diego
16,S2,California,4,West,C72,Brentwood
17,S2,California,4,West,C76,Inglewood
18,S2,California,4,West,C86,Long Beach
19,S2,California,4,West,C87,Hesperia
20,S2,California,4,West,C102,Huntington Beach
21,S2,California,4,West,C117,Costa Mesa
22,S2,California,4,West,C126,Anaheim
23,S2,California,4,West,C133,Vallejo
24,S2,California,4,West,C134,Mission Viejo
25,S2,California,4,West,C153,Lancaster
26,S2,California,4,West,C155,Lake Elsinore
27,S2,California,4,West,C158,Santa Ana
28,S2,California,4,West,C163,Salinas
29,S2,California,4,West,C170,Riverside
30,S2,California,4,West,C171,Torrance
31,S2,California,4,West,C175,Murrieta
32,S2,California,4,West,C183,Oakland
33,S2,California,4,West,C185,Encinitas
34,S2,California,4,West,C188,Antioch
35,S2,California,4,West,C195,Escondido
36,S2,California,4,West,C202,Fresno
37,S2,California,4,West,C212,Pico Rivera
38,S2,California,4,West,C224,Westminster
39,S2,California,4,West,C226,Pomona
40,S2,California,4,West,C230,Laguna Niguel
41,S2,California,4,West,C273,San Bernardino
42,S2,California,4,West,C277,Ontario
43,S2,California,4,West,C278,Rancho Cucamonga
44,S2,California,4,West,C281,Stockton
45,S2,California,4,West,C283,Sunnyvale
46,S2,California,4,West,C287,Manteca
47,S2,California,4,West,C302,Sacramento
48,S2,California,4,West,C303,Thousand Oaks
49,S2,California,4,West,C308,Coachella
50,S2,California,4,West,C315,La Quinta
51,S2,California,4,West,C328,Vacaville
52,S2,California,4,West,C330,Bakersfield
